method,target,target_type,stage_type,stage_index,n_datasets,mean_bias,rmse,mean_absolute_error,mean_scaled_absolute_error,sd_scaled_absolute_error,median_scaled_absolute_error,q25_scaled_absolute_error,q75_scaled_absolute_error,scaled_error_iqr,coverage_rate,mean_interval_width,mean_simulator_calls,mean_runtime_seconds
Auto ABC,half_life_days,derived,rejection_budget,0,10,7.348796899941291,7.531197524125615,7.348796899941291,0.5438152435078808,0.12850748427794845,0.5638963530764035,0.4861467895621398,0.5936816978973181,0.10753490833517826,1.0,55.94662254747796,2000.0,
Auto ABC,stationary_log_volatility_variance,derived,rejection_budget,0,10,0.925980864683518,0.9424159414651041,0.925980864683518,1.0031459367404783,0.20010653797274947,0.8932693796168601,0.8485962685696256,1.1823488573102212,0.33375258874059566,1.0,6.143003168560416,2000.0,
Auto ABC,alpha,parameter,rejection_budget,1,10,0.10402686484062498,0.10490055994138926,0.10402686484062498,0.07430490345758926,0.010172516089293353,0.06993859640031566,0.0694127873671275,0.0776521169623507,0.008239329595223208,1.0,0.8465228279592678,5000.0,
Auto ABC,beta,parameter,rejection_budget,1,10,0.0066938875852361355,0.006815503194801797,0.0066938875852361355,0.04492542003514184,0.009067864451843747,0.044241724535487206,0.04214197620562548,0.05002698760462577,0.007885011399000288,1.0,0.08329844624440166,5000.0,
Auto ABC,sigma_eta,parameter,rejection_budget,1,10,0.041919663018323644,0.04246878473534248,0.041919663018323644,0.09315480670738588,0.01594564314796298,0.090936893189805,0.07940656579662952,0.10780381558161457,0.02839724978498505,1.0,0.34586705022302267,5000.0,
Auto ABC,long_run_log_variance,derived,rejection_budget,1,10,0.3668472002800778,0.45578125050809876,0.3668472002800778,0.036684720028007815,0.028511144012550386,0.037698445340256494,0.010462519519234147,0.061767155845038876,0.05130463632580473,1.0,12.453304876462978,5000.0,
Auto ABC,half_life_days,derived,rejection_budget,1,10,7.699890708097594,7.7575360247702765,7.699890708097594,0.5697963894527571,0.07363164283823974,0.5638945442226359,0.5478859747293849,0.6056272741647392,0.05774129943535422,1.0,52.76742186194063,5000.0,
Auto ABC,stationary_log_volatility_variance,derived,rejection_budget,1,10,1.0030636339569683,1.0149306065783659,1.0030636339569683,1.0866522701200492,0.17671392899509442,1.0783651322068564,0.9707553936331568,1.1731777584338516,0.20242236480069487,1.0,6.090924634481365,5000.0,
Auto ABC,alpha,parameter,rejection_budget,2,10,0.10406913638458666,0.10472463348444908,0.10406913638458666,0.07433509741756192,0.008808356120118356,0.0718680102848615,0.06855860571140412,0.0815612714076045,0.013002665696200372,1.0,0.8643531382735485,10000.0,
Auto ABC,beta,parameter,rejection_budget,2,10,0.007029845500298648,0.007136574646847839,0.007029845500298648,0.04718017114294394,0.008698894307668553,0.04735672294317053,0.04487607641113766,0.052182432193519576,0.007306355782381917,1.0,0.08335484296738441,10000.0,
Auto ABC,sigma_eta,parameter,rejection_budget,2,10,0.04545086414229564,0.04563471211354126,0.04545086414229564,0.10100192031621254,0.009585625499181375,0.10328331653562894,0.09334368043909419,0.10850085831735597,0.015157177878261777,1.0,0.3473362686129971,10000.0,
Auto ABC,long_run_log_variance,derived,rejection_budget,2,10,0.2925130021573585,0.3818821754497416,0.2925130021573585,0.029251300215735875,0.025877948462202444,0.02767307224873028,0.005838335186964155,0.0451766588671711,0.03933832368020695,1.0,12.55953168172783,10000.0,
Auto ABC,half_life_days,derived,rejection_budget,2,10,7.946703247215224,7.982279296780568,7.946703247215224,0.5880606608550766,0.058720095918812526,0.6024540309985098,0.5727881809714203,0.6207304350274525,0.04794225405603225,1.0,54.64140738244898,10000.0,
Auto ABC,stationary_log_volatility_variance,derived,rejection_budget,2,10,1.053165258826291,1.0565852056089362,1.053165258826291,1.140929030395149,0.0969987351523591,1.1721105843067217,1.0794309707368368,1.1989913902252596,0.11956041948842278,1.0,6.212278452512865,10000.0,
