beta_regime,sigma_eta_regime,method,target,target_type,n_datasets,mean_bias,rmse,mean_absolute_error,mean_scaled_absolute_error,sd_scaled_absolute_error,median_scaled_absolute_error,q25_scaled_absolute_error,q75_scaled_absolute_error,scaled_error_iqr,coverage_rate,mean_interval_width,mean_simulator_calls,mean_runtime_seconds
0.9,0.3,Manual ABC,long_run_log_variance,derived,5,-0.5222716029465794,0.5321145017191818,0.5222716029465794,0.05222716029465794,0.011389806679364546,0.05526069279493893,0.05270439662344621,0.05638840548466852,0.0036840088612223112,1.0,6.674080486003153,10000.0,
0.9,0.3,Manual ABC,half_life_days,derived,5,0.8737945443944932,0.9376112850611982,0.8737945443944932,0.132819473783371,0.057780676629241016,0.11731148121777717,0.0991253285771648,0.18307354871371948,0.08394822013655467,1.0,12.943586522615485,10000.0,
0.9,0.3,Manual ABC,stationary_log_volatility_variance,derived,5,0.04382727407015576,0.08246787539493959,0.07124587609947419,0.15040796065444548,0.09802967832620396,0.13984692671832566,0.10229844061410186,0.14470928848806944,0.04241084787396758,1.0,0.6237724759700496,10000.0,
0.9,0.3,Auto ABC,alpha,parameter,5,-0.12385899086962557,0.12653813402919162,0.12385899086962557,0.08847070776401827,0.02068424151765066,0.0927864004769866,0.09180963377685196,0.0932072026216662,0.0013975688448142343,1.0,0.8042509091092936,10000.0,
0.9,0.3,Auto ABC,beta,parameter,5,-0.01616921583289561,0.017315515235352318,0.01616921583289561,0.10851822706641348,0.04648803385770473,0.13492446736181263,0.08121485027176745,0.14249240784103723,0.06127755756926978,1.0,0.07497495424896476,10000.0,
0.9,0.3,Auto ABC,sigma_eta,parameter,5,0.052857625002869,0.05821733773056098,0.052857625002869,0.11746138889526445,0.060620754477297395,0.13251885708260822,0.12822761300202237,0.15274339992830874,0.024515786926286365,1.0,0.26453308104747025,10000.0,
0.9,0.3,Auto ABC,long_run_log_variance,derived,5,0.24571825535889183,0.4445915303287985,0.39489462572267264,0.039489462572267264,0.022836337112005636,0.03335078112303762,0.022876164177238322,0.06309955218854527,0.04022338801130694,1.0,5.528927998790737,10000.0,
0.9,0.3,Auto ABC,half_life_days,derived,5,-0.7046763378453333,0.8332472714042433,0.737902844654007,0.11216351504931121,0.06577546542707319,0.1490237816367426,0.07692282664475629,0.1598028817961654,0.0828800551514091,1.0,5.109806402865427,10000.0,
0.9,0.3,Auto ABC,stationary_log_volatility_variance,derived,5,0.12161309888137342,0.1333238289330059,0.12161309888137342,0.2567387643051216,0.12896577044907015,0.3120031196006556,0.2508446860806999,0.3373772140176575,0.08653252793695765,1.0,0.8164027126689302,10000.0,
0.9,0.3,Wasserstein ABC,alpha,parameter,5,-0.0018550718793543864,0.0036101198768823907,0.0032432175199642588,0.0023165839428316137,0.0012663486105150708,0.002478831501089058,0.001962065453132235,0.0025994837307481105,0.0006374182776158754,1.0,1.2143678624785585,10000.0,
