seed,N,epsilon,accepted,alpha_mean,alpha_abs_error,beta_mean,beta_abs_error,sigma_eta_mean,sigma_eta_abs_error
6,1000,1.0,72,-0.9150609613143801,0.4150609613143801,0.9117473920927917,0.0382526079072083,0.3310059605057518,0.03100596050575183
6,1000,0.5,7,-0.9272191581233967,0.4272191581233967,0.90573950483683,0.04426049516316999,0.3615893839904187,0.06158938399041869
6,1000,0.2,1,-1.4322331790753298,0.9322331790753298,0.8530048977918846,0.09699510220811536,0.49209825965589477,0.19209825965589478
6,1000,0.1,0,,,,,,
6,2000,2.0,922,-1.0275682780350113,0.5275682780350113,0.9337691653909743,0.016230834609025635,0.2343502144960364,0.06564978550396358
6,2000,1.0,134,-0.9339425975385296,0.4339425975385296,0.9098803976269445,0.04011960237305545,0.3275237189687573,0.027523718968757327
6,2000,0.5,8,-0.9827411550537921,0.4827411550537921,0.9003004453905125,0.049699554609487495,0.3645961230989504,0.06459612309895041
6,2000,0.2,1,-1.4322331790753298,0.9322331790753298,0.8530048977918846,0.09699510220811536,0.49209825965589477,0.19209825965589478
6,2000,0.1,0,,,,,,
6,5000,2.0,2343,-1.0359008891377968,0.5359008891377968,0.9338823384089486,0.016117661591051324,0.24079950658318056,0.05920049341681943
6,5000,1.0,303,-0.9467130049166841,0.4467130049166841,0.9083918373986573,0.0416081626013427,0.33917174608808753,0.039171746088087545
6,5000,0.5,18,-0.7533200202982386,0.25332002029823864,0.9233438917161416,0.026656108283858337,0.3279061669063969,0.027906166906396912
6,5000,0.2,1,-1.4322331790753298,0.9322331790753298,0.8530048977918846,0.09699510220811536,0.49209825965589477,0.19209825965589478
6,5000,0.1,0,,,,,,
6,10000,2.0,4629,-1.0429673962772463,0.5429673962772463,0.9328090539500665,0.01719094604993343,0.24377945601815681,0.056220543981843174
6,10000,1.0,576,-0.9641613175396745,0.4641613175396745,0.9064727974917126,0.043527202508287344,0.3421677952131568,0.04216779521315683
6,10000,0.5,39,-0.7586194282950596,0.2586194282950596,0.9229503548355907,0.02704964516440922,0.34082411435325016,0.040824114353250174
6,10000,0.2,1,-1.4322331790753298,0.9322331790753298,0.8530048977918846,0.09699510220811536,0.49209825965589477,0.19209825965589478
6,10000,0.1,0,,,,,,
6,20000,2.0,9204,-1.0422833417876722,0.5422833417876722,0.9331632128235573,0.016836787176442658,0.24168661073523529,0.0583133892647647
6,20000,1.0,1095,-0.9548803601682117,0.45488036016821165,0.9072704360686161,0.04272956393138383,0.33875492481097946,0.038754924810979474
6,20000,0.5,72,-0.7829087923244663,0.2829087923244663,0.9205835936684958,0.029416406331504108,0.3423029574387124,0.04230295743871243
6,20000,0.2,2,-0.9423320379865637,0.44233203798656373,0.9034399336209499,0.04656006637905008,0.39193358148777246,0.09193358148777248
6,20000,0.1,0,,,,,,
7,1000,2.0,444,-1.034585414036786,0.534585414036786,0.9339574747168566,0.016042525283143316,0.2423258952110919,0.05767410478890808
7,1000,1.0,44,-0.9815124029249201,0.48151240292492015,0.9045415318483531,0.04545846815164689,0.33733040436782896,0.03733040436782897
7,1000,0.5,5,-0.7464750848857358,0.24647508488573577,0.9256855171192008,0.024314482880799182,0.3383909263328008,0.038390926332800834
7,1000,0.2,0,,,,,,
7,1000,0.1,0,,,,,,
7,2000,2.0,893,-1.0288312489820202,0.5288312489820202,0.9337051332282557,0.0162948667717443,0.23696232253963412,0.06303767746036587
7,2000,1.0,92,-0.9509689927718826,0.4509689927718826,0.9083498634221073,0.04165013657789263,0.3299699826571447,0.029969982657144734
7,2000,0.5,11,-0.6490226013847664,0.14902260138476642,0.9345767187579844,0.01542328124201553,0.30484316905346054,0.00484316905346055
7,2000,0.2,0,,,,,,
7,2000,0.1,0,,,,,,
7,5000,2.0,2222,-1.0290943057379367,0.5290943057379367,0.9334849158867893,0.016515084113210676,0.2367668313771249,0.06323316862287509
7,5000,1.0,256,-0.928792642314824,0.42879264231482395,0.9106193593521955,0.039380640647804444,0.3247341100037413,0.024734110003741316
7,5000,0.5,23,-0.6928537685587696,0.19285376855876957,0.9300410708799849,0.019958929120015068,0.32113691482082196,0.021136914820821973
7,5000,0.2,1,-0.507527335798181,0.00752733579818099,0.9494192320472138,0.0005807679527861653,0.2945267409181082,0.005473259081891779
7,5000,0.1,0,,,,,,
7,10000,2.0,4528,-1.032462818123752,0.5324628181237521,0.9334845670323588,0.01651543296764113,0.23803343075354813,0.06196656924645186
7,10000,1.0,510,-0.9186940065694836,0.41869400656948363,0.9115332584303142,0.03846674156968577,0.32953340799520997,0.02953340799520998
7,10000,0.5,47,-0.6927334372450992,0.19273343724509917,0.9301191434120506,0.019880856587949358,0.3181762754140167,0.01817627541401673
7,10000,0.2,3,-0.3694245967405571,0.1305754032594429,0.9628565622456154,0.012856562245615488,0.25082417532792417,0.04917582467207582
7,10000,0.1,0,,,,,,
7,20000,2.0,9162,-1.0344729741722525,0.5344729741722525,0.9330725319720582,0.01692746802794176,0.23954708313854461,0.060452916861455375
7,20000,1.0,1038,-0.9374582895023594,0.43745828950235943,0.9094733871349006,0.0405266128650994,0.33475813349676387,0.03475813349676388
7,20000,0.5,100,-0.7422347533008294,0.24223475330082944,0.9250169698527987,0.02498303014720127,0.3277062252965047,0.02770622529650474
7,20000,0.2,3,-0.3694245967405571,0.1305754032594429,0.9628565622456154,0.012856562245615488,0.25082417532792417,0.04917582467207582
7,20000,0.1,0,,,,,,
8,1000,2.0,450,-1.055295966662092,0.555295966662092,0.9313097772101885,0.018690222789811473,0.24707136308346347,0.052928636916536514
8,1000,1.0,61,-0.9597734831953674,0.45977348319536737,0.9093378232284037,0.040662176771596226,0.34783377134699506,0.04783377134699507
8,1000,0.5,4,-0.9421791319737026,0.4421791319737026,0.9048531666658409,0.04514683333415903,0.3995633722629962,0.09956337226299622
8,1000,0.2,0,,,,,,
8,1000,0.1,0,,,,,,
8,2000,2.0,915,-1.0331465105506334,0.5331465105506334,0.9332950608527488,0.01670493914725113,0.23946660255842428,0.06053339744157571
8,2000,1.0,112,-0.9108244407703054,0.41082444077030544,0.9119614144348521,0.03803858556514783,0.326906712429337,0.02690671242933701
8,2000,0.5,8,-0.8610828033474436,0.3610828033474436,0.9129632562484132,0.03703674375158672,0.3292506375762675,0.029250637576267502
8,2000,0.2,0,,,,,,
8,2000,0.1,0,,,,,,
8,5000,2.0,2326,-1.0359398293019335,0.5359398293019335,0.9333733771256195,0.016626622874380437,0.23970460796176932,0.06029539203823067
8,5000,1.0,273,-0.914105886589181,0.414105886589181,0.9116686390408778,0.03833136095912215,0.33327557836845967,0.03327557836845968
8,5000,0.5,27,-0.7845764755411582,0.28457647554115817,0.9204821636933042,0.0295178363066958,0.3298728605176799,0.0298728605176799
8,5000,0.2,1,-0.5019252583620522,0.0019252583620521513,0.9501292697781948,0.00012926977819482932,0.31715312787777766,0.017153127877777674
8,5000,0.1,0,,,,,,
8,10000,2.0,4551,-1.0417606104791934,0.5417606104791934,0.932600642997758,0.017399357002241933,0.23968370030214906,0.060316299697850934
8,10000,1.0,552,-0.9373063389307221,0.4373063389307221,0.9091990372682064,0.040800962731793566,0.3356780635788437,0.03567806357884373
8,10000,0.5,46,-0.8420778652937737,0.3420778652937737,0.9150273548896749,0.03497264511032505,0.3440545180130798,0.0440545180130798
8,10000,0.2,3,-0.6521379077632963,0.15213790776329628,0.9344255748781426,0.01557442512185736,0.31019226868679645,0.010192268686796457
8,10000,0.1,0,,,,,,
8,20000,2.0,9129,-1.039805201988929,0.539805201988929,0.9323726531780648,0.01762734682193512,0.23890346545444505,0.06109653454555494
