dataset,block_length,permutation,manual_distance,auto_distance,wasserstein_distance,squared_acf_1,squared_acf_5
synthetic,5,58,3.0296302304369696,5.8171830903143675,0.0,0.18256631501147544,0.007585961218291117
synthetic,5,59,3.130490196868446,5.671921264752539,0.0,0.19146083059291505,0.0016927005274413993
synthetic,5,60,3.008332916359794,5.7454152716879285,0.0,0.18243440983366868,0.00874869005574455
synthetic,5,61,3.3603107111326422,5.756823040071804,0.0,0.18769208407493154,-0.010581584073232005
synthetic,5,62,2.8692424393402445,5.607601486253746,0.0,0.17181509650845675,0.017047349324136946
synthetic,5,63,3.3786869027335156,5.758415106136907,0.0,0.17164214059055918,-0.010678441240487202
synthetic,5,64,2.8062984754954727,5.726607598959612,0.0,0.16806821094067065,0.020805380768899658
synthetic,5,65,3.341530878234251,5.836096160213297,0.0,0.17530837491165796,-0.00890220438237217
synthetic,5,66,3.3485264521978304,5.635098784814005,0.0,0.17139267168339561,-0.009021078555224788
synthetic,5,67,3.2461306948800606,5.741206184438043,0.0,0.159394059300901,-0.002463642985988985
synthetic,5,68,2.873150916758539,5.694084100021057,0.0,0.16957979551280095,0.017019708325595524
synthetic,5,69,3.2336921222698263,5.659100832333906,0.0,0.1663403698125688,-0.002386604583351805
synthetic,5,70,2.992770478362784,5.643265473198377,0.0,0.16576535620371174,0.010816144698372604
synthetic,5,71,2.952995344858816,5.756149293563643,0.0,0.17348919580431255,0.012351912920309072
synthetic,5,72,2.7067154589068916,5.562560795766692,0.0,0.19995188630382066,0.02429825830796331
synthetic,5,73,3.395304289509776,5.714879208711925,0.0,0.167795606688409,-0.011306603474460726
synthetic,5,74,2.6534580189705226,5.735857457285342,0.0,0.1787455393159161,0.028269318222283235
synthetic,5,75,2.8913700959005837,5.746604627586571,0.0,0.1675464987415172,0.016200906682838606
synthetic,5,76,3.081457182419506,5.125633297525251,0.0,0.1793027609088417,0.004968323646240332
synthetic,5,77,3.372054552607929,5.721613201279618,0.0,0.18058771692593453,-0.010870034799745944
synthetic,5,78,3.48341404317696,5.642096685573908,0.0,0.17175478119244064,-0.016378696011361476
synthetic,5,79,3.11074893115412,5.791830491239599,0.0,0.1794078296411398,0.0033717816765920254
synthetic,5,80,3.4840828776311312,5.840985113148545,0.0,0.1784401221103488,-0.016824883156924698
synthetic,5,81,3.477138498207708,5.6677116612853,0.0,0.17694547968361166,-0.016362580091896343
synthetic,5,82,3.4804279685708535,5.806143140067008,0.0,0.1716587765910625,-0.01621002273469552
synthetic,5,83,3.3042317851077985,5.81665717973548,0.0,0.17208037040868565,-0.006660152428263913
synthetic,5,84,3.4930378778290567,5.833436686927962,0.0,0.17150800659740484,-0.016885248144070036
synthetic,5,85,3.101300442439931,5.751585298683405,0.0,0.17965285449349003,0.0038696559328705617
synthetic,5,86,3.5508696126407173,5.8382889730664465,0.0,0.1748388364061738,-0.02023783906977702
synthetic,5,87,3.2486821801364227,5.768731999113188,0.0,0.16979827543382814,-0.0034726508468019756
synthetic,5,88,3.0757292048795564,5.2316074705196485,0.0,0.1679329898298854,0.006100348995421255
synthetic,5,89,3.358986870669837,5.740035232724346,0.0,0.16809406977071722,-0.009351390813398716
synthetic,5,90,2.764854247238453,5.709937743973552,0.0,0.16680480505259165,0.023189676628940822
synthetic,5,91,3.358750506739746,5.815696320475727,0.0,0.18434182218164147,-0.010343015521429834
synthetic,5,92,3.5683148557435937,5.598695695156521,0.0,0.16385235119234115,-0.020430643846191286
synthetic,5,93,2.761816634016125,5.787088485139599,0.0,0.17169383850372388,0.022919210557063634
synthetic,5,94,2.6561128189848655,5.7488825905023795,0.0,0.17194844656054167,0.02867049266229972
synthetic,5,95,2.9622518334297223,5.778906583713406,0.0,0.17144272022890975,0.012005711503373425
synthetic,5,96,2.955459166545996,5.723206375809891,0.0,0.16310095628928695,0.01310215237651238
synthetic,5,97,3.0938559688673677,5.321686967756518,0.0,0.16406338299206077,0.005441586238284886
synthetic,5,98,3.7042612607587353,5.803919356670827,0.0,0.1612430409778804,-0.027636029377042865
synthetic,5,99,2.394854993223713,5.2088247621917745,0.0,0.17135636204551952,0.04302425624737305
synthetic,5,100,3.2718718851472435,5.701238215519715,0.0,0.17263172276695996,-0.004938742713955502
synthetic,20,1,0.6724478658375556,1.5584601728976257,0.0,0.20742199172147904,0.1340064512760706
synthetic,20,2,0.9197327962528421,3.371140699264851,0.0,0.20370959986238987,0.12081251177292891
synthetic,20,3,0.6995809028745834,1.4782237090146297,0.0,0.20663478665102772,0.13258202696170157
synthetic,20,4,0.6412084383396707,1.4213744665979986,0.0,0.20783520371107678,0.1356769284537086
synthetic,20,5,0.8728505618014597,3.4870531999709513,0.0,0.20469679268630164,0.12329557282809094
synthetic,20,6,0.9696632738112501,3.09191549542356,0.0,0.2241513764346053,0.11799181207650418
synthetic,20,7,0.9435334760628582,3.622287469574244,0.0,0.20256635125544842,0.11959626664542015
synthetic,20,8,0.9621973145025617,1.6596184577124142,0.0,0.2008731771411137,0.11870609700452442
synthetic,20,9,0.436847365392298,1.3296183387942047,0.0,0.20350750095121214,0.1472952789992273
synthetic,20,10,0.9349138839579131,3.464594114105818,0.0,0.19881621365575142,0.12037251022471511
synthetic,20,11,0.9722565134963261,3.814127664607503,0.0,0.20966381153154984,0.11769102767242308
synthetic,20,12,0.7486563119836833,3.463804044918174,0.0,0.20523375066765373,0.13000828372377804
synthetic,20,13,0.6046700109954349,2.7219572654408317,0.0,0.2045884876401575,0.13791133818465795
synthetic,20,14,0.66428597487994,1.459888387123926,0.0,0.2094679420548584,0.13434291641854057
synthetic,20,15,0.676512760964828,3.2426772149326095,0.0,0.20732650935969973,0.13379158750667727
synthetic,20,16,0.7714266252986728,1.4973709811256042,0.0,0.20774395819641647,0.1286236271876059
synthetic,20,17,0.7955272206272185,3.7136223014825074,0.0,0.21524102377847906,0.1271471601485159
synthetic,20,18,0.7408075452369082,1.5099550574572689,0.0,0.1979296842997956,0.13114741200309843
synthetic,20,19,0.6848978753046866,3.6232936892573684,0.0,0.20527879641579985,0.13347467623842027
synthetic,20,20,0.8435818624769095,1.4983679591504708,0.0,0.20220028842095975,0.12506746238888974
synthetic,20,21,0.7857543127703792,1.5265625874804862,0.0,0.20291620410864142,0.1281635462836001
synthetic,20,22,1.0198093139406785,3.6875432669924457,0.0,0.2066847066465564,0.11522797120037911
synthetic,20,23,1.0368347392897457,3.697199985661197,0.0,0.2018929805531665,0.11456969907211176
synthetic,20,24,0.871704097567284,3.3839060630765965,0.0,0.20263116981611587,0.12350092138451227
synthetic,20,25,0.8893901907132563,1.6859812503021516,0.0,0.20047973437753236,0.12271186448448565
synthetic,20,26,0.39330156382179376,3.2037216366380954,0.0,0.2026741486586778,0.1498762931727684
synthetic,20,27,0.7896370142882748,1.51507373384368,0.0,0.19907335806943421,0.12831819330287078
synthetic,20,28,0.8121674764459031,3.3861976466177532,0.0,0.20328818796992887,0.1266938984627765
synthetic,20,29,0.6834972560317428,1.291792552889914,0.0,0.19888721551313174,0.134201952018607
synthetic,20,30,1.1192375543197377,3.403700470025912,0.0,0.20045898404444354,0.11018786415287864
synthetic,20,31,0.7665314959887608,1.5372588458929635,0.0,0.2006107381497188,0.12942639008515475
synthetic,20,32,1.1049494461001856,3.137534554836009,0.0,0.2062821082025241,0.11063919042407654
synthetic,20,33,0.8053810695413549,1.505128886416217,0.0,0.20471378063657408,0.12695989713166364
synthetic,20,34,0.9267671053432808,3.6382573642221514,0.0,0.20251024658301547,0.12051235805277583
synthetic,20,35,0.9637634527615523,2.977243755148819,0.0,0.2010195045833534,0.1186093258035396
synthetic,20,36,0.8619382433277989,3.63582428978756,0.0,0.2029946988201688,0.12400543660075566
synthetic,20,37,0.8412536567052875,3.297945953435248,0.0,0.20149678685281833,0.12525333399262634
synthetic,20,38,0.7851793948887534,3.339826372010535,0.0,0.21215155816737125,0.1277303889307252
synthetic,20,39,0.8917169159346543,3.4200917220844187,0.0,0.208055094216408,0.12209944824256619
synthetic,20,40,0.8494198358300045,1.6070684097966,0.0,0.20674252033347681,0.12444949950358845
synthetic,20,41,0.9569407280394749,1.736982432885647,0.0,0.20464132557151576,0.11873566643709092
synthetic,20,42,0.9953266770066328,1.707631488418597,0.0,0.20527627975272308,0.11662018857710882
synthetic,20,43,0.5479400903171918,1.371491495852861,0.0,0.20296376361805143,0.14119992771770887
synthetic,20,44,0.7775323302502637,1.5618270899812485,0.0,0.21265031026249834,0.1281345023302669
synthetic,20,45,0.6376219007436746,2.8606895808320743,0.0,0.2030107575730558,0.1362582067634916
synthetic,20,46,0.7891288404314019,3.3669458710970215,0.0,0.20029957254642003,0.1282177655475498
synthetic,20,47,1.1294416839403396,3.631850910952304,0.0,0.20084392949858773,0.10960693257283831
synthetic,20,48,0.7971141768909388,1.3913864371086433,0.0,0.20414775187069634,0.12744928969603384
synthetic,20,49,0.6504228438684956,1.5453277108949461,0.0,0.2398049271376474,0.1376147418151317
synthetic,20,50,0.5562963508577423,1.3384829954083888,0.0,0.20448838801789038,0.14057191017913012
synthetic,20,51,0.8577766741525447,3.540352916944327,0.0,0.20385547690657135,0.12417009739465482
synthetic,20,52,0.9679298926142333,1.6691709930580225,0.0,0.2013610937308182,0.11835625671836907
synthetic,20,53,0.8207636598764594,3.4010555011444032,0.0,0.21563117442353277,0.12578753902749
synthetic,20,54,0.9430172200548834,3.034470718620582,0.0,0.2047173525836105,0.11948649419167717
synthetic,20,55,0.7931337076123585,2.90536493490472,0.0,0.20264159246419117,0.12778360462856203
synthetic,20,56,0.9564898478908707,3.024967572335924,0.0,0.20483126251269362,0.11874930402851169
synthetic,20,57,0.70202854338673,1.3640498512065524,0.0,0.20428036918582726,0.13261943598485298
synthetic,20,58,0.8396428038223914,2.9265238698874914,0.0,0.2071855988653707,0.1249567961033094
synthetic,20,59,1.030132146621606,1.7870795495112008,0.0,0.2069332714220986,0.11465905971108592
synthetic,20,60,0.9979403915687528,3.6376426457836812,0.0,0.2024054308867191,0.11664920249662712
synthetic,20,61,0.8018681005625762,1.547969260392553,0.0,0.21119589551638243,0.1268503415352775
synthetic,20,62,1.10745409396938,3.6688082601226193,0.0,0.19922850365933975,0.11091868213829024
synthetic,20,63,0.806906630321817,1.3798643035019118,0.0,0.2037621852030272,0.12694457080790153
synthetic,20,64,1.105753412780039,3.5677956395364414,0.0,0.20431450540601062,0.11068710473934791
synthetic,20,65,0.8036565961510316,2.901794989825316,0.0,0.2025277795596005,0.12721879386005325
synthetic,20,66,0.8657923422925188,3.067246739775991,0.0,0.2026454145414228,0.12382183921333578
synthetic,20,67,1.0399504836377789,3.6925920038899367,0.0,0.1998907182982695,0.11454542466459951
synthetic,20,68,0.8384507422958303,3.343036249314785,0.0,0.2024586587153354,0.1253264699101556
synthetic,20,69,0.8829852344098149,3.422290593812398,0.0,0.20332589253967787,0.12283612579001417
synthetic,20,70,0.813842916750647,2.8567655102268823,0.0,0.2055061629872675,0.1264487784306206
synthetic,20,71,0.9431772523475245,3.649403922699386,0.0,0.20554909826857232,0.11943166518607674
synthetic,20,72,0.8797337610114299,3.5705386442368807,0.0,0.20276114056850064,0.12305392541087676
synthetic,20,73,0.7553028113020357,3.552118362898118,0.0,0.20992851433939763,0.12940321227773902
synthetic,20,74,0.7311876503138368,2.907433111991907,0.0,0.20526619306764726,0.13095609486278062
synthetic,20,75,0.7589821738477827,3.4434645864607396,0.0,0.19976223435437823,0.1299301209966637
synthetic,20,76,0.5772543464429448,1.3068156058675302,0.0,0.2024675382872396,0.13963973725247703
synthetic,20,77,0.717121352514415,3.241991227566816,0.0,0.202641291309908,0.1319374851564187
synthetic,20,78,0.7055492254669288,1.5870014708989146,0.0,0.21797530901206735,0.13203503861325916
synthetic,20,79,0.8046461823646748,3.4944614754060344,0.0,0.20571564695391767,0.12693510995993493
synthetic,20,80,0.7905696981273077,1.5208856411041511,0.0,0.2052028931493761,0.12773212861900612
synthetic,20,81,0.6561024254012643,3.3001247965308154,0.0,0.21234847597066878,0.13469219002782898
synthetic,20,82,1.0714455338298055,1.7974869398355482,0.0,0.2027210944962899,0.11263673139112926
synthetic,20,83,0.9086983772281944,3.3841646429059042,0.0,0.20461589148602424,0.12135456771259143
synthetic,20,84,1.0391723679489104,3.9648686898092786,0.0,0.20175018611814816,0.11445229823933013
synthetic,20,85,1.0216782860211042,3.5720313635718246,0.0,0.2128866263428845,0.11496117740495027
