dataset_id,replicate,data_seed,beta_regime,sigma_eta_regime,method,target,target_type,mean,sd,q2.5,median,q97.5,true_value,bias,absolute_error,scaled_absolute_error,covered,interval_width,simulator_calls,runtime_seconds
beta_0.95_sigma_0.30_seed_202603,3,202603,0.95,0.3,Wasserstein ABC,stationary_log_volatility_variance,derived,0.564838694957255,0.5352299411659291,0.017638796376964323,0.43081130139197904,2.0367461592860954,0.9230769230769228,-0.35823822811966777,0.35823822811966777,0.38809141379630685,True,2.019107362909131,10000,
beta_0.95_sigma_0.30_seed_202603,3,202603,0.95,0.3,ABC-SMC,alpha,parameter,-0.8680436911938216,0.32352869356367675,-1.4447377682083364,-0.8740615540078761,-0.20509274656644205,-0.5000000000000004,-0.3680436911938212,0.3680436911938212,0.26288835085272944,True,1.2396450216418944,23444,54.33791940000083
beta_0.95_sigma_0.30_seed_202603,3,202603,0.95,0.3,ABC-SMC,beta,parameter,0.923308569887394,0.027582542389157614,0.8687211439582305,0.9234888604068585,0.9763977275583237,0.95,-0.026691430112605996,0.026691430112605996,0.17913711484970465,True,0.10767658360009313,23444,54.33791940000083
beta_0.95_sigma_0.30_seed_202603,3,202603,0.95,0.3,ABC-SMC,sigma_eta,parameter,0.36788269558848835,0.07100868482129608,0.22046186501398757,0.3731083956947324,0.48208860578299356,0.3,0.06788269558848836,0.06788269558848836,0.15085043464108525,True,0.261626740769006,23444,54.33791940000083
beta_0.95_sigma_0.30_seed_202603,3,202603,0.95,0.3,ABC-SMC,long_run_log_variance,derived,-11.43680227981854,2.1175828106107666,-14.951241534116999,-11.500949703693745,-7.9072948513032975,-10.0,-1.43680227981854,1.43680227981854,0.143680227981854,True,7.043946682813702,23444,54.33791940000083
beta_0.95_sigma_0.30_seed_202603,3,202603,0.95,0.3,ABC-SMC,half_life_days,derived,10.898409185687823,8.823214240786909,4.925260576342162,8.70825748283665,29.019862175677254,13.513407333964874,-2.614998148277051,2.614998148277051,0.19351138344690175,True,24.094601599335093,23444,54.33791940000083
beta_0.95_sigma_0.30_seed_202603,3,202603,0.95,0.3,ABC-SMC,stationary_log_volatility_variance,derived,0.9870716357552982,0.24635197187073754,0.6067160525323574,0.9539648713682053,1.62320073303187,0.9230769230769228,0.06399471267837542,0.06399471267837542,0.0693276054015734,True,1.0164846804995127,23444,54.33791940000083
beta_0.95_sigma_0.30_seed_202604,4,202604,0.95,0.3,Manual ABC,alpha,parameter,-0.9887159479399964,0.30523342786365965,-1.462729293031237,-0.9997674239719553,-0.3482542633987762,-0.5000000000000004,-0.48871594793999595,0.48871594793999595,0.34908281995713997,True,1.1144750296324608,10000,
beta_0.95_sigma_0.30_seed_202604,4,202604,0.95,0.3,Manual ABC,beta,parameter,0.9064227726769635,0.02821757163886885,0.8583291230344299,0.9037733686275291,0.9700601320530029,0.95,-0.04357722732303648,0.04357722732303648,0.29246461290628506,True,0.11173100901857302,10000,
beta_0.95_sigma_0.30_seed_202604,4,202604,0.95,0.3,Manual ABC,sigma_eta,parameter,0.36446648532059284,0.07157384934024003,0.20718667664238705,0.36943803465237446,0.4893946332905019,0.3,0.06446648532059285,0.06446648532059285,0.1432588562679841,True,0.2822079566481149,10000,
beta_0.95_sigma_0.30_seed_202604,4,202604,0.95,0.3,Manual ABC,long_run_log_variance,derived,-10.725430548991778,2.035487389778771,-14.445583743796808,-10.538596394078056,-7.5904032467254146,-10.0,-0.7254305489917776,0.7254305489917776,0.07254305489917776,True,6.855180497071394,10000,
beta_0.95_sigma_0.30_seed_202604,4,202604,0.95,0.3,Manual ABC,half_life_days,derived,8.262163254597473,5.200110579063561,4.537263852944502,6.8508612534697,22.80298117104603,13.513407333964874,-5.251244079367401,5.251244079367401,0.38859511517637874,True,18.26571731810153,10000,
beta_0.95_sigma_0.30_seed_202604,4,202604,0.95,0.3,Manual ABC,stationary_log_volatility_variance,derived,0.7815246161223606,0.19867811576283775,0.452113839956308,0.7607426496613151,1.1913713181472387,0.9230769230769228,-0.14155230695456222,0.14155230695456222,0.15334833253410912,True,0.7392574781909307,10000,
