alpha,beta,sigma_eta,distance,weight
-0.7753172315498872,0.9340960210447292,0.464325512092026,4.207632833462959,0.0016411107248455257
-0.4117943692745091,0.9563690534049173,0.4421800123805149,3.632425237518086,0.0016980353136463002
-0.27594374899566515,0.9636814364314977,0.3854473379167767,2.7598235880844184,0.0019341485584635429
-0.20942599947419233,0.9691262977403703,0.3563343589437382,4.510137147483656,0.0022443955507894784
-0.38100987147094506,0.9755411543839753,0.4918533927553661,1.8468601213188778,0.0026082945457362727
-0.14657035026782547,0.987628387721229,0.20580393442507294,3.387916215356111,0.005845010972142573
-0.767773194233986,0.900164768300097,0.4531749227540962,4.523430197937568,0.002171641758134739
-0.10045024254852684,0.9897115133177732,0.2044125938270116,3.5920875335720925,0.0062655306313360425
-0.6586469086016242,0.9329126069271304,0.44795069665540893,2.571745580177102,0.001555307540418665
-0.40746424720377655,0.9758972067916899,0.4710093966743987,3.5782701443907983,0.0023175290358993616
-0.5015936627082302,0.9536897419841666,0.46025259382827893,3.760650461075457,0.0016722399046934428
-0.7196619616260732,0.9536053485542686,0.4956765260353902,3.3766722500342436,0.0019579463176411945
-0.10073012638539343,0.9859955000768504,0.2114237233535853,4.317893312596904,0.005706744673418188
-1.0940842509923454,0.931611449024196,0.4559795565075665,2.0760789785826947,0.002193796381633544
-0.3273455614043048,0.9510781025860277,0.4296350990511079,4.117600594677005,0.0017569737000313614
-0.23143870430575997,0.9732317385862516,0.28974244416729156,2.666073002665853,0.0028490684031237785
-0.4801411590572291,0.9535995807311887,0.3801615006656034,4.243157457413998,0.0016474428081583593
-0.7819283068821278,0.9248740667815348,0.4377936966646375,4.092789839663753,0.0016405830172098726
-0.5780995861029417,0.9440226278634053,0.422005232340664,2.7771011689992697,0.0015141654805666562
-1.1312744767712322,0.918913452752259,0.4480211919229835,3.987845339190259,0.002287291158256817
-0.6577210081462892,0.9602339441386406,0.4827877244053472,3.880814691384736,0.0019193958476420622
-0.2977018892408536,0.978817779944065,0.33113811858741976,3.3532437631956205,0.0024332682755119498
-0.398880756488043,0.9698736068190729,0.3799670300470302,2.1652042477842968,0.0018792787908451646
-0.5610716803341582,0.9629604595522282,0.35998523748269606,4.5473627533666665,0.0018308790795805857
-0.3504098685303173,0.9657806139601404,0.3485440694467186,3.358080618526384,0.0019918084061725815
-0.6989409005331113,0.911902531239372,0.4946031674410524,4.175947895346742,0.002062535304909329
-0.4089751982682893,0.9532678181083336,0.4705177359958451,4.069351251377247,0.001818531772672262
-0.7662137786934866,0.9451932413892453,0.40812361065268926,2.009813583324883,0.001624070233032565
-0.78522062523197,0.9491418300728207,0.4463979193218087,1.6962325222216403,0.0016707435528612253
-1.2891137868876463,0.911931702230188,0.4672363228848134,4.24839539510543,0.0029939779308694073
-0.7724168094032817,0.9408798412014696,0.4558734804305041,3.5050773380341855,0.0016206598272381567
-0.5588064805612669,0.9626030477559875,0.41909538445010874,4.083150911224782,0.00166350549123495
-0.527047584982679,0.956832234653576,0.35419117436110403,3.367800662509353,0.0017939737422248878
-0.5425047175243537,0.9500052138483157,0.40019760097716994,4.2016619162274385,0.001557442860277909
-0.5609474833978195,0.9601747297598984,0.4901579844032019,4.412611841746001,0.0019650568345013926
